"disease_status","metric","n","mean","sd","median","iqr"
"Healthy","chao1",25,137.064,4.5945,137.7,6.5
"Healthy","fisher",25,21.4265,0.6993,21.285,1.166
"Healthy","invsimpson",25,44.2596,4.6203,43.8523,6.9903
"Healthy","observed",25,132.24,3.7225,132,6
"Healthy","pielou",25,0.8513,0.0121,0.8508,0.0175
"Healthy","shannon",25,4.1582,0.0672,4.1588,0.0707
"Healthy","simpson",25,0.9772,0.0024,0.9772,0.0036
"IBD","chao1",27,138.2481,6.0007,137.6,6.2
"IBD","fisher",27,21.4448,0.6717,21.4779,0.9702
"IBD","invsimpson",27,44.0074,5.1928,43.6503,6.1916
"IBD","observed",27,132.0741,3.6366,133,5
"IBD","pielou",27,0.8508,0.0146,0.8539,0.0197
"IBD","shannon",27,4.1546,0.0802,4.1513,0.0839
"IBD","simpson",27,0.977,0.0028,0.9771,0.0031
